x,y
226.5,225.1111111
226,233
226,239
226,245
226,251
226,257
226,263
226,269
226,275
226,281
226,287
226,293
225.5,297.3333333
226.4,429
226,437
226,441.75
226.5,495.1111111
226,503
226,509
226.1,514.4
226.5,555.1111111
226.1,562.4
227,173
227,179
227,185
227,191
227.5,195.75
227.2142857,310
227,317
227,323
227,329
227,335
227.3,340.4
227,421
228.5,414
229.2272727,126.4545455
229,135
229,141
229.5,146.25
229.4,348
229.2272727,396.4545455
229,405
229,409.5
229.2272727,468.4545455
229,477
229,483
229.5,488.25
229.2272727,522.4545455
229,531
229,537
229,543
229.5,548.25
229.2272727,570.4545455
229,579
229,585
229,591
229,597
229,603
229,609
229,615
229,621
229.3571429,627.4285714
228.5,631.6
230.2272727,203.5454545
230,212
230.3,217.6
230.2272727,383.5454545
230,390
230.2272727,449.5454545
231.2272727,358.7272727
231,367.1666667
231,373.1666667
231,377
231.5,459.25
232.4,153.4
232,161.3333333
232,167.3333333
232.4,225.4
232,233.3333333
232,239.3333333
232,245.3333333
232,251.3333333
232,257.3333333
232,263.3333333
232,269.3333333
232,275.3333333
232,281.3333333
232,287.3333333
232,293.3333333
232,299.3333333
232,305.3333333
232.4,429.4
232,437.3333333
232,442.25
232.4,495.4
232,503.3333333
232,509.3333333
232.1,514.8
232.4,555.4
232.1,562.8
233.3571429,172.7142857
233,179.6666667
233,185.6666667
233,191.6666667
233.5,196.75
233.3571429,310.7142857
233,317.6666667
233,323.6666667
233,329.6666667
233,335.6666667
233.3,341.2
233.3571429,421.2857143
234.3571429,414.4285714
235.2272727,121.5454545
235,130
235,136
235,142
235.5,147.25
235.4,349.1
235.2272727,397.5454545
235,406
235,410
235.2272727,469.5454545
235,478
235,484
235.5,489.25
235.2272727,523.5454545
235,532
235,538
235,544
235.5,549.25
235.2272727,571.5454545
235,580
235,586
235,592
235,598
235,604
235,610
235,616
235,622
234.6428571,626.7857143
236.2272727,204.5454545
236,213
236.3,218.6
236.2272727,384.5454545
236,390.5
236.2272727,450.5454545
237.4,359
237,367
237,373
236.5,377.3333333
237.5,459.875
238.2272727,155.3636364
238,163.8333333
238.2272727,227.3636364
238,235.8333333
238,241.8333333
238,247.8333333
238,253.8333333
238,259.8333333
238,265.8333333
238,271.8333333
238,277.8333333
238,283.8333333
238,289.8333333
238,295.8333333
238,301.8333333
238.2272727,431.3636364
238,439.8333333
238.5,445
238.2272727,497.3636364
238,505.8333333
238,511.8333333
238.5,517
238.2272727,557.3636364
238.5,565
239.1,172.6
239,180.5
239,186.5
239,192.5
239.5,197.75
239.1,310.6
239,318.5
239,324.5
239,330.5
239,336.5
239.3,342
239.3571429,423.4285714
240.375,416.375
241,114.8
241,122.8333333
241,128.8333333
241,134.8333333
241,140.8333333
241.3,146.2
241.125,348.625
241,396.8
241,404.8333333
241.5,409.75
241,468.8
241,476.8333333
241,482.8333333
241.3,488.2
241.0555556,523.1111111
241,530.8333333
241,536.8333333
241,542.8333333
241.3,548.2
241.0555556,571.1111111
241,578.8333333
241,584.8333333
241,590.8333333
241,596.8333333
241,602.8333333
241,608.8333333
241,614.8333333
241.1666667,621.6111111
242.3,203.5
242,211.8333333
242,217.8333333
242.2272727,383.2727273
242.5,390.6666667
242.4,449.4
243.2272727,358.3636364
243,366.8333333
243,372.8333333
243,377
243.5,459.4444444
244.2272727,153.7272727
244,162.1666667
244,168.1666667
244.2272727,225.7272727
244,234.1666667
244,240.1666667
244,246.1666667
244,252.1666667
244,258.1666667
244,264.1666667
244,270.1666667
244,276.1666667
244,282.1666667
244,288.1666667
244,294.1666667
244,300.1666667
244,306.1666667
244.2272727,435.7272727
244.5,443
244.2272727,495.7272727
244,504.1666667
